Category,Subcategory,Underway,Considering
Transportation,Bus Transit,94,1
Transportation,Bike Lanes,90,6
Transportation,Promote Bicycle commuting,85,9
Transportation,Green Vehicle Procurement Policy,71,16
Transportation,Bike-Share Program,58,18
Transportation,Promote Private EV Charging Stations,50,28
Transportation,Climate Sollution Business Partnerships,30,58
Buildings,Existing Muni Building Energy Policies,64,14
Buildings,Routine Energy Audits,62,26
Buildings,Percentage of Cities,57,24
Buildings,Gov't Bldg Efficiency Partnerships,41,49
Buildings,Business Partnership for Efficient Bldgs,31,57
Buildings,New Muni Building Energy Policies,30,57
Renewable Energy,Purchase RE for City Operations,67,25
Renewable Energy,Gov't Energy Solutions Partnerships,51,42
Renewable Energy,Gov't Renewable Electricity Partnerships,41,49
GHC Emissions,GHG Emissions Tracking,76,0
